time,bass,drums,vocals,other
17.41,182,195.91666666666666,112.43157894736842,37.839285714285715
17.43,180.83333333333334,197.75,112.90526315789474,37.839285714285715
17.45,179.66666666666666,197.91666666666666,112.17894736842105,37.526785714285715
17.46,178,196.33333333333334,111.96842105263158,36.705357142857146
17.48,176.66666666666666,196,112.14736842105263,35.651785714285715
17.50,177.33333333333334,196,112.78947368421052,34.276785714285715
17.51,175.16666666666666,194.58333333333334,112.15789473684211,32.330357142857146
17.53,173.33333333333334,192.16666666666666,111.13684210526316,30.803571428571427
17.55,173.16666666666666,191.66666666666666,111.32631578947368,30.410714285714285
17.56,171.33333333333334,190,110.5578947368421,31.035714285714285
17.58,170,189.16666666666666,112.12631578947368,31.25
17.60,169.66666666666666,190.75,119.26315789473684,35.473214285714285
17.61,169.83333333333334,192.41666666666666,119.7578947368421,36.5625
17.63,169.16666666666666,193.25,119.4,37.535714285714285
17.65,167.66666666666666,193.66666666666666,119.0421052631579,38.00892857142857
17.66,166.66666666666666,193,119.03157894736842,38.044642857142854
17.68,166.83333333333334,193.41666666666666,119.96842105263158,38.875
17.70,167.33333333333334,194.16666666666666,128.10526315789474,45.294642857142854
17.71,166.33333333333334,194,129.09473684210528,45.1875
17.73,166,193.08333333333334,129.44210526315788,43.875
17.75,166.33333333333334,193,129.3578947368421,43.607142857142854
17.76,166.66666666666666,195.41666666666666,129.05263157894737,43.642857142857146
17.78,167.66666666666666,197.08333333333334,129.06315789473683,43.07142857142857
17.80,167.16666666666666,199.08333333333334,128.5157894736842,42.607142857142854
17.81,169.16666666666666,198.75,127.8,42.205357142857146
17.83,171,197.75,126.93684210526315,41.8125
17.85,171,197.66666666666666,125.81052631578947,41.392857142857146
17.86,170.66666666666666,199.5,125.91578947368421,41.517857142857146
17.88,170,200.41666666666666,125.94736842105263,40.901785714285715
17.90,169.66666666666666,199.75,125.50526315789473,40.410714285714285
17.91,169.16666666666666,198.08333333333334,124.76842105263158,38.705357142857146
17.94,168.16666666666666,198.16666666666666,124.11578947368422,37.776785714285715
17.95,168.16666666666666,198.16666666666666,124.11578947368422,37.776785714285715
17.96,166.33333333333334,197.83333333333334,123.11578947368422,37.017857142857146
17.98,164.66666666666666,196.5,122.14736842105263,35.49107142857143
18.00,164,195.25,121.13684210526316,34.223214285714285
18.01,163.16666666666666,194.83333333333334,119.45263157894736,32.857142857142854
18.03,161.33333333333334,193.33333333333334,119.11578947368422,31.714285714285715
18.05,159.16666666666666,193.66666666666666,118.11578947368422,30.803571428571427
18.06,157.83333333333334,194.58333333333334,116.88421052631578,33.901785714285715
18.08,157.16666666666666,194.41666666666666,116.48421052631579,35.973214285714285
18.10,153.83333333333334,194.91666666666666,115.43157894736842,38.598214285714285
18.11,152.66666666666666,195.08333333333334,114.3157894736842,40.026785714285715
18.13,150.66666666666666,193.75,113.70526315789473,40.455357142857146
18.15,149.16666666666666,193.16666666666666,114.27368421052631,40.705357142857146
